tree,genotype,block,year,coppice_year,coppice_number,height,d20,d50,dbh,cop_id
BESC-36-2,BESC-36,2,2018,0,0,NA,NA,NA,15.9,0
BESC-36-2,BESC-36,2,2019,0,0,NA,NA,NA,17,0
BESC-388-2,BESC-388,2,2010,0,0,244.1448,NA,NA,NA,0
BESC-388-2,BESC-388,2,2011,0,0,480.06,8.6,7.5,NA,0
BESC-388-2,BESC-388,2,2012,0,0,740,NA,NA,7.9,0
BESC-388-2,BESC-388,2,2013,0,0,1020,NA,NA,12,0
BESC-388-2,BESC-388,2,2014,0,0,NA,NA,NA,14.2,0
BESC-388-2,BESC-388,2,2015,0,0,NA,NA,NA,16.5,0
BESC-388-2,BESC-388,2,2018,0,0,NA,NA,NA,19.200000000000003,0
BESC-388-2,BESC-388,2,2019,0,0,NA,NA,NA,21.3,0
BESC-833-2,BESC-833,2,2010,0,0,403.2504,NA,NA,NA,0
BESC-833-2,BESC-833,2,2011,0,0,661.4159999999999,12.1,10.5,NA,0
BESC-833-2,BESC-833,2,2012,0,0,890,NA,NA,11,0
BESC-833-2,BESC-833,2,2013,0,0,1170,NA,NA,15.1,0
BESC-833-2,BESC-833,2,2014,0,0,NA,NA,NA,17.8,0
BESC-833-2,BESC-833,2,2015,0,0,NA,NA,NA,20.700000000000003,0
BESC-833-2,BESC-833,2,2018,0,0,NA,NA,NA,26.3,0
BESC-833-2,BESC-833,2,2019,0,0,NA,NA,NA,27.3,0
BESC-841-2,BESC-841,2,2010,0,0,243.84,NA,NA,NA,0
BESC-841-2,BESC-841,2,2011,0,0,524.256,8,7.5,NA,0
BESC-841-2,BESC-841,2,2012,0,0,780,NA,NA,7.5,0
BESC-841-2,BESC-841,2,2013,0,0,1110,NA,NA,11.3,0
BESC-841-2,BESC-841,2,2014,0,0,NA,NA,NA,13.9,0
BESC-841-2,BESC-841,2,2015,0,0,NA,NA,NA,15.8,0
BESC-841-2,BESC-841,2,2018,0,0,NA,NA,NA,19.200000000000003,0
BESC-841-2,BESC-841,2,2019,0,0,NA,NA,NA,20.1,0
BESC-876-2,BESC-876,2,2010,0,0,307.848,NA,NA,NA,0
BESC-876-2,BESC-876,2,2011,0,0,524.256,10.1,9.1,NA,0
BESC-876-2,BESC-876,2,2012,0,0,880,NA,NA,10.7,0
BESC-876-2,BESC-876,2,2013,0,0,1300,NA,NA,15.2,0
BESC-876-2,BESC-876,2,2014,0,0,NA,NA,NA,19.8,0
